0,Nro,Ratio,Desvio,Variables importantes,Eliminadas,Ganancia,Semilla
Ratio,,,,,,,
,264.0,2.25,1.0,78.0,49.67741935483871,144172000.0,800161.0
,265.0,2.25,2.0,120.0,22.580645161290324,140749000.0,800161.0
,266.0,2.5,-2.0,14.0,90.96774193548387,135317000.0,800161.0
,267.0,2.5,-1.0,61.0,60.645161290322584,138649000.0,800161.0
,268.0,2.5,0.0,67.0,56.774193548387096,143682000.0,800161.0
,269.0,2.5,1.0,81.0,47.74193548387097,142646000.0,800161.0
,270.0,2.5,2.0,122.0,21.29032258064516,141967000.0,800161.0
,271.0,2.75,-2.0,15.0,90.3225806451613,134652000.0,800161.0
,272.0,2.75,-1.0,67.0,56.774193548387096,145012000.0,800161.0
,273.0,2.75,0.0,70.0,54.83870967741935,144137000.0,800161.0
,274.0,2.75,1.0,82.0,47.096774193548384,143815000.0,800161.0
,275.0,2.75,2.0,131.0,15.483870967741936,141813000.0,800161.0
,276.0,3.0,-2.0,13.0,91.61290322580645,133469000.0,800161.0
,277.0,3.0,-1.0,61.0,60.645161290322584,142870000.0,800161.0
,278.0,3.0,0.0,72.0,53.54838709677419,142996000.0,800161.0
,279.0,3.0,1.0,78.0,49.67741935483871,142583000.0,800161.0
,280.0,3.0,2.0,134.0,13.548387096774194,143171000.0,800161.0
,281.0,3.25,-2.0,2.0,98.70967741935483,0.0,800161.0
,282.0,3.25,-1.0,42.0,72.90322580645162,142128000.0,800161.0
,283.0,3.25,0.0,51.0,67.09677419354838,144347000.0,800161.0
,284.0,3.25,1.0,59.0,61.935483870967744,142058000.0,800161.0
,285.0,3.25,2.0,108.0,30.322580645161292,144641000.0,800161.0
,286.0,3.5,-2.0,8.0,94.83870967741936,81494000.0,800161.0
,287.0,3.5,-1.0,61.0,60.645161290322584,141085000.0,800161.0
,288.0,3.5,0.0,68.0,56.12903225806452,146321000.0,800161.0
,289.0,3.5,1.0,77.0,50.32258064516129,145026000.0,800161.0
,290.0,3.5,2.0,128.0,17.419354838709676,140833000.0,800161.0
,291.0,3.75,-2.0,2.0,98.70967741935483,0.0,800161.0
,292.0,3.75,-1.0,59.0,61.935483870967744,141540000.0,800161.0
,293.0,3.75,0.0,74.0,52.25806451612903,139517000.0,800161.0
,294.0,3.75,1.0,84.0,45.806451612903224,142121000.0,800161.0
,295.0,3.75,2.0,149.0,3.870967741935484,141169000.0,800161.0
,296.0,4.0,-2.0,2.0,98.70967741935483,0.0,800161.0
,297.0,4.0,-1.0,63.0,59.354838709677416,147119000.0,800161.0
,298.0,4.0,0.0,74.0,52.25806451612903,143836000.0,800161.0
,299.0,4.0,1.0,82.0,47.096774193548384,143136000.0,800161.0
,300.0,4.0,2.0,147.0,5.161290322580645,144081000.0,800161.0
